enroll_id,grade,counts,year
74042,G10,76,2023
74042,JHS,0,2023
74045,G7,28,2023
74045,G8,42,2023
74045,G9,38,2023
74045,G10,40,2023
74045,JHS,0,2023
74044,G7,29,2023
74044,G8,39,2023
74044,G9,44,2023
74044,G10,30,2023
74044,JHS,0,2023
74046,G7,32,2023
74046,G8,32,2023
74046,G9,30,2023
74046,G10,39,2023
74046,JHS,0,2023
74047,G7,26,2023
74047,G8,50,2023
74047,G9,38,2023
74047,G10,37,2023
74047,JHS,0,2023
74049,G7,99,2023
74049,G8,107,2023
74049,G9,109,2023
74049,G10,115,2023
74049,JHS,0,2023
74048,G7,81,2023
74048,G8,81,2023
74048,G9,127,2023
74048,G10,129,2023
74048,JHS,0,2023
74051,G7,155,2023
74051,G8,226,2023
74051,G9,216,2023
74051,G10,236,2023
74051,JHS,0,2023
74050,G7,147,2023
74050,G8,206,2023
74050,G9,192,2023
74050,G10,238,2023
74050,JHS,0,2023
74052,G7,92,2023
74052,G8,113,2023
74052,G9,122,2023
74052,G10,138,2023
74052,JHS,0,2023
74053,G7,96,2023
74053,G8,109,2023
74053,G9,130,2023
74053,G10,137,2023
74053,JHS,0,2023
74054,G7,75,2023
74054,G8,112,2023
74054,G9,123,2023
74054,G10,119,2023
74054,JHS,0,2023
74055,G7,87,2023
74055,G8,108,2023
74055,G9,123,2023
74055,G10,108,2023
74055,JHS,0,2023
74056,G7,22,2023
74056,G8,28,2023
74056,G9,31,2023
74056,G10,31,2023
74056,JHS,0,2023
74057,G7,31,2023
74057,G8,32,2023
74057,G9,29,2023
74057,G10,32,2023
74057,JHS,0,2023
74059,G7,17,2023
74059,G8,30,2023
74059,G9,29,2023
74059,G10,34,2023
74059,JHS,0,2023
74058,G7,27,2023
74058,G8,24,2023
74058,G9,26,2023
74058,G10,37,2023
74058,JHS,0,2023
74061,G7,43,2023
74061,G8,38,2023
74061,G9,57,2023
74061,G10,47,2023
74061,JHS,0,2023
74060,G7,37,2023
74060,G8,53,2023
74060,G9,52,2023
74060,G10,55,2023
74060,JHS,0,2023
74063,G7,40,2023
74063,G8,40,2023
74063,G9,32,2023
74063,G10,44,2023
74063,JHS,0,2023
74062,G7,49,2023
74062,G8,49,2023
74062,G9,40,2023
74062,G10,42,2023
74062,JHS,0,2023
74065,G7,127,2023
74065,G8,184,2023
74065,G9,191,2023
74065,G10,177,2023
74065,JHS,0,2023
74064,G7,139,2023
74064,G8,184,2023
74064,G9,173,2023
74064,G10,174,2023
74064,JHS,0,2023
74067,G7,16,2023
74067,G8,28,2023
74067,G9,22,2023
74067,G10,28,2023
74067,JHS,0,2023
74066,G7,24,2023
74066,G8,24,2023
74066,G9,26,2023
74066,G10,21,2023
74066,JHS,0,2023
74069,G7,38,2023
74069,G8,41,2023
74069,G9,54,2023
74069,G10,50,2023
74069,JHS,0,2023
74068,G7,43,2023
74068,G8,54,2023
74068,G9,74,2023
74068,G10,59,2023
74068,JHS,0,2023
74070,G7,45,2023
74070,G8,64,2023
74070,G9,73,2023
74070,G10,54,2023
74070,JHS,0,2023
74071,G7,59,2023
74071,G8,72,2023
74071,G9,69,2023
74071,G10,62,2023
74071,JHS,0,2023
74073,G7,10,2023
74073,G8,11,2023
74073,G9,12,2023
74073,G10,8,2023
74073,JHS,0,2023
74072,G7,18,2023
74072,G8,18,2023
74072,G9,10,2023
74072,G10,14,2023
74072,JHS,0,2023
74075,G7,6,2023
